l,n_pg,n_p,n_g,Re(freq),Im(freq)
0,10,10,0,1.53E+03,0.00E+00
0,11,11,0,1.67E+03,0.00E+00
0,12,12,0,1.80E+03,0.00E+00
0,13,13,0,1.94E+03,0.00E+00
0,14,14,0,2.07E+03,0.00E+00
0,15,15,0,2.21E+03,0.00E+00
0,16,16,0,2.34E+03,0.00E+00
0,17,17,0,2.47E+03,0.00E+00
0,18,18,0,2.60E+03,0.00E+00
0,19,19,0,2.74E+03,0.00E+00
0,20,20,0,2.87E+03,0.00E+00
0,21,21,0,3.01E+03,0.00E+00
0,22,22,0,3.14E+03,0.00E+00
0,23,23,0,3.28E+03,0.00E+00
0,24,24,0,3.41E+03,0.00E+00
0,25,25,0,3.55E+03,0.00E+00
0,26,26,0,3.68E+03,0.00E+00
0,27,27,0,3.82E+03,0.00E+00
0,28,28,0,3.95E+03,0.00E+00
0,29,29,0,4.09E+03,0.00E+00
0,30,30,0,4.23E+03,0.00E+00
0,31,31,0,4.36E+03,0.00E+00
1,10,9,0,1.59E+03,0.00E+00
1,11,10,0,1.73E+03,0.00E+00
1,12,11,0,1.86E+03,0.00E+00
1,13,12,0,2.00E+03,0.00E+00
1,14,13,0,2.13E+03,0.00E+00
1,15,14,0,2.27E+03,0.00E+00
1,16,15,0,2.40E+03,0.00E+00
1,17,16,0,2.53E+03,0.00E+00
1,18,17,0,2.67E+03,0.00E+00
1,19,18,0,2.80E+03,0.00E+00
1,20,19,0,2.94E+03,0.00E+00
1,21,20,0,3.07E+03,0.00E+00
1,22,21,0,3.21E+03,0.00E+00
1,23,22,0,3.34E+03,0.00E+00
1,24,23,0,3.48E+03,0.00E+00
1,25,24,0,3.61E+03,0.00E+00
1,26,25,0,3.75E+03,0.00E+00
1,27,26,0,3.88E+03,0.00E+00
1,28,27,0,4.02E+03,0.00E+00
1,29,28,0,4.16E+03,0.00E+00
1,30,29,0,4.29E+03,0.00E+00
1,31,30,0,4.43E+03,0.00E+00
2,9,9,0,1.52E+03,0.00E+00
2,10,10,0,1.66E+03,0.00E+00
2,11,11,0,1.79E+03,0.00E+00
2,12,12,0,1.92E+03,0.00E+00
2,13,13,0,2.06E+03,0.00E+00
2,14,14,0,2.19E+03,0.00E+00
2,15,15,0,2.33E+03,0.00E+00
2,16,16,0,2.46E+03,0.00E+00
2,17,17,0,2.59E+03,0.00E+00
2,18,18,0,2.73E+03,0.00E+00
2,19,19,0,2.86E+03,0.00E+00
2,20,20,0,3.00E+03,0.00E+00
2,21,21,0,3.13E+03,0.00E+00
2,22,22,0,3.27E+03,0.00E+00
2,23,23,0,3.40E+03,0.00E+00
2,24,24,0,3.54E+03,0.00E+00
2,25,25,0,3.67E+03,0.00E+00
2,26,26,0,3.81E+03,0.00E+00
2,27,27,0,3.95E+03,0.00E+00
2,28,28,0,4.08E+03,0.00E+00
2,29,29,0,4.22E+03,0.00E+00
2,30,30,0,4.36E+03,0.00E+00
2,31,31,0,4.49E+03,0.00E+00
3,9,9,0,1.57E+03,0.00E+00
3,10,10,0,1.71E+03,0.00E+00
3,11,11,0,1.84E+03,0.00E+00
3,12,12,0,1.98E+03,0.00E+00
3,13,13,0,2.11E+03,0.00E+00
3,14,14,0,2.25E+03,0.00E+00
3,15,15,0,2.38E+03,0.00E+00
3,16,16,0,2.52E+03,0.00E+00
3,17,17,0,2.65E+03,0.00E+00
3,18,18,0,2.78E+03,0.00E+00
3,19,19,0,2.92E+03,0.00E+00
3,20,20,0,3.05E+03,0.00E+00
3,21,21,0,3.19E+03,0.00E+00
3,22,22,0,3.33E+03,0.00E+00
3,23,23,0,3.46E+03,0.00E+00
3,24,24,0,3.60E+03,0.00E+00
3,25,25,0,3.73E+03,0.00E+00
3,26,26,0,3.87E+03,0.00E+00
3,27,27,0,4.01E+03,0.00E+00
3,28,28,0,4.14E+03,0.00E+00
3,29,29,0,4.28E+03,0.00E+00
3,30,30,0,4.42E+03,0.00E+00
4,9,9,0,1.62E+03,0.00E+00
4,10,10,0,1.76E+03,0.00E+00
4,11,11,0,1.89E+03,0.00E+00
4,12,12,0,2.03E+03,0.00E+00
4,13,13,0,2.16E+03,0.00E+00
4,14,14,0,2.30E+03,0.00E+00
4,15,15,0,2.43E+03,0.00E+00
4,16,16,0,2.57E+03,0.00E+00
4,17,17,0,2.70E+03,0.00E+00
4,18,18,0,2.84E+03,0.00E+00
4,19,19,0,2.97E+03,0.00E+00
4,20,20,0,3.11E+03,0.00E+00
4,21,21,0,3.24E+03,0.00E+00
4,22,22,0,3.38E+03,0.00E+00
4,23,23,0,3.52E+03,0.00E+00
4,24,24,0,3.65E+03,0.00E+00
4,25,25,0,3.79E+03,0.00E+00
4,26,26,0,3.93E+03,0.00E+00
4,27,27,0,4.06E+03,0.00E+00
4,28,28,0,4.20E+03,0.00E+00
4,29,29,0,4.34E+03,0.00E+00
4,30,30,0,4.47E+03,0.00E+00
5,8,8,0,1.53E+03,0.00E+00
5,9,9,0,1.67E+03,0.00E+00
5,10,10,0,1.80E+03,0.00E+00
5,11,11,0,1.94E+03,0.00E+00
5,12,12,0,2.08E+03,0.00E+00
5,13,13,0,2.21E+03,0.00E+00
5,14,14,0,2.35E+03,0.00E+00
5,15,15,0,2.48E+03,0.00E+00
5,16,16,0,2.61E+03,0.00E+00
5,17,17,0,2.75E+03,0.00E+00
5,18,18,0,2.89E+03,0.00E+00
5,19,19,0,3.02E+03,0.00E+00
5,20,20,0,3.16E+03,0.00E+00
5,21,21,0,3.29E+03,0.00E+00
5,22,22,0,3.43E+03,0.00E+00
5,23,23,0,3.57E+03,0.00E+00
5,24,24,0,3.70E+03,0.00E+00
5,25,25,0,3.84E+03,0.00E+00
5,26,26,0,3.98E+03,0.00E+00
5,27,27,0,4.12E+03,0.00E+00
5,28,28,0,4.25E+03,0.00E+00
5,29,29,0,4.39E+03,0.00E+00
